Indice,Malevolo,Dispositivo,TipologiaAttacco,RMSE
12,0,4,0,0.07511027884198873
28,0,4,0,0.14312761207345467
33,0,4,0,0.0741779137847521
39,0,4,0,0.0481555932149405
40,0,4,0,0.052181116800963434
42,0,4,0,0.24041203916358656
46,0,4,0,0.09186362560022948
48,0,4,0,0.0447152732187202
51,0,4,0,0.2349674692533726
70,0,4,0,0.10976242648519154
73,0,4,0,0.09702186274869214
74,0,4,0,0.09362884541773327
91,0,4,0,0.06905055566371525
120,0,4,0,0.033683129476701414
130,0,4,0,0.030779304883077625
135,0,4,0,0.0224048144693537
180,0,4,0,0.007520691852665969
191,0,4,0,0.01699664294408293
194,0,4,0,0.009447432046781012
202,0,4,0,0.024928274707978884
220,0,4,0,0.02515588432892805
221,0,4,0,0.024798441548207255
229,0,4,0,0.030328587351905356
255,0,4,0,0.025783084228714243
257,0,4,0,0.024395012472507156
265,0,4,0,0.025080448715892222
273,0,4,0,0.023571298126430024
282,0,4,0,0.022122105030331355
300,0,4,0,0.01947116950350911
333,0,4,0,0.0337082551780428
336,0,4,0,0.03913242015590647
364,0,4,0,0.04810455050246776
369,0,4,0,0.042719502169100226
396,0,4,0,0.04219998344396899
399,0,4,0,0.03419776706018651
412,0,4,0,0.03757929284816067
419,0,4,0,0.03321122141292374
431,0,4,0,0.03444183123150586
432,0,4,0,0.0336292326735443
449,0,4,0,0.04723963523795506
457,0,4,0,0.05401880630173421
459,0,4,0,0.051968789914064846
473,0,4,0,0.043767109922107764
494,0,4,0,0.03889820418591918
518,0,4,0,0.03233168336562011
530,0,4,0,0.027891919427336903
534,0,4,0,0.02771422404859272
535,0,4,0,0.028083893717961866
540,0,4,0,0.030579623458411646
552,0,4,0,0.03194366837795117
553,0,4,0,0.031016081138101097
561,0,4,0,0.032732082451824934
572,0,4,0,0.03386328728466488
589,0,4,0,0.035229539012213366
591,0,4,0,0.03520744983976018
595,0,4,0,0.036343819410427206
597,0,4,0,0.036313135649178874
602,0,4,0,0.03635099760152413
603,0,4,0,0.037143306916787716
641,0,4,0,0.03845824318420581
647,0,4,0,0.035830250241491196
650,0,4,0,0.03918847706480223
652,0,4,0,0.038846298985194434
658,0,4,0,0.035774383350725344
664,0,4,0,0.0388266781915073
722,0,4,0,0.03812672479201975
728,0,4,0,0.035099528927677315
731,0,4,0,0.03188345073962671
735,0,4,0,0.0374705296880109
808,0,4,0,0.040045020635144035
830,0,4,0,0.23788742308957467
834,0,4,0,0.13964026627609788
836,0,4,0,0.22168311731968274
